Permit Number,Permit Type,Tract,Status,Initiating Office,License Number,Latitude,Longitude,Census Tract,Council District
18044-10000-07662,HVAC,CARNATION TERRACE TRACT,Permit Finaled,METRO,622969,34.04929,-118.19578,2038,14
16016-10000-13032,Bldg-Alter/Repair,CARNATION TERRACE TRACT,Permit Finaled,METRO,0,34.04861,-118.19414,2038,14
18041-10000-16541,Electrical,TR 2941,Permit Finaled,METRO,977712,,,2032,14
18041-10000-12556,Electrical,EUCLID PLACE TRACT,Permit Finaled,METRO,1021841,34.03672,-118.20365,2043,14
16041-10000-24216,Electrical,TR 2271,Permit Closed,METRO,230077,34.03461,-118.20499,2043,14
18016-20000-25658,Bldg-Alter/Repair,OGILVIE'S GRAND VIEW HEIGHTS TRACT,Permit Finaled,VAN NUYS,897724,34.03679,-118.19885,2041.1,14
17016-10001-20540,Bldg-Alter/Repair,RAYMUND HEIGHTS TRACT,Permit Finaled,METRO,0,34.04658,-118.19339,2038,14
16041-10000-36530,Electrical,TR 8453,Permit Finaled,METRO,1004411,34.0539,-118.19318,2032,14
17016-70000-21568,Bldg-Alter/Repair,LA PALOMA HEIGHTS TRACT,Permit Finaled,SOUTH LA,1002364,34.03667,-118.19801,2041.1,14
18042-10000-02736,Plumbing,EAST END TERRACE,Issued,METRO,1030177,34.03626,-118.19375,2039,14
17044-90000-14074,HVAC,KENYON AND SMITH TRACT,Permit Finaled,INTERNET,1002162,34.03306,-118.19786,2041.2,14
17041-20000-14802,Electrical,"RECORDS SUBDIVISION OF THE WESTERLY 1/2 OF LOT 7, BLOCK 74 HANCOCKS SURVEY",Permit Finaled,VAN NUYS,983841,34.04516,-118.19792,2038,14
17016-10000-10745,Bldg-Alter/Repair,RAYMUND HEIGHTS TRACT,Issued,METRO,1021180,34.04646,-118.19376,2038,14
16042-10001-03533,Plumbing,"E. A. MILLER'S SUBDIVISION OF LOTS 33, 34, 35 OF THE WORKMAN AND HELLMAN SUBDIVI",Permit Finaled,METRO,991693,34.03628,-118.20241,2041.2,14
19041-90000-16225,Electrical,RAYMUND HEIGHTS TRACT,Issued,INTERNET,947234,34.04795,-118.19265,2038,14
16041-10000-06080,Electrical,KENYON AND SMITH TRACT,Permit Finaled,METRO,980770,34.03151,-118.19877,2041.2,14
15042-10001-13978,Plumbing,KENYON AND SMITH TRACT,Permit Finaled,METRO,821736,34.03151,-118.19877,2041.2,14
17016-90000-25544,Bldg-Alter/Repair,TR 2941,Permit Finaled,INTERNET,837030,34.05184,-118.19515,2032,14
18042-90000-22657,Plumbing,MOUNTAIN VIEW TRACT,Issued,INTERNET,989217,34.035,-118.20044,2041.2,14
16043-10000-02991,Fire Sprinkler,EAST END TERRACE,Permit Finaled,METRO,801705,34.03567,-118.19471,2039,14
16041-10000-05476,Electrical,HYLAND HEIGHTS TRACT,Permit Finaled,METRO,888104,34.04378,-118.19666,2038,14
17016-40000-30293,Bldg-Alter/Repair,TR 6333,Permit Finaled,SANPEDRO,684960,34.06274,-118.19113,2014.02,14
15020-10000-02741,Nonbldg-New,TR 2271,Issued,METRO,803626,34.03452,-118.20594,2043,14
17042-10000-13529,Plumbing,"SUBDIVISION OF LOT 5 OF THE N 1/2 OF LOT 7, BLOCK 73 HANCOCK'S SURVEY",Issued,METRO,617489,34.03782,-118.19955,2041.1,14
16044-10000-04217,HVAC,THOMPSON AND SCHOCK TRACT,Permit Finaled,METRO,622969,,,2043,14
16041-90000-25846,Electrical,"RECORDS SUBDIVISION OF THE WESTERLY 1/2 OF LOT 7, BLOCK 74 HANCOCKS SURVEY",Permit Finaled,INTERNET,993986,34.04311,-118.19905,2038,14
16043-10001-02991,Fire Sprinkler,EAST END TERRACE,Permit Finaled,METRO,801705,34.03567,-118.19471,2039,14
17044-10000-05088,HVAC,CARNATION TERRACE TRACT,Issued,METRO,640316,34.04634,-118.19512,2038,14
18016-10000-01384,Bldg-Alter/Repair,"E. A. MILLER'S SUBDIVISION OF LOTS 33, 34, 35 OF THE WORKMAN AND HELLMAN SUBDIVI",CofO Issued,METRO,0,34.03509,-118.20353,2041.2,14
18016-20000-15819,Bldg-Alter/Repair,MOUNTAIN VIEW TRACT,CofO Issued,VAN NUYS,1021337,34.0343,-118.20037,2041.2,14
18044-10001-12312,HVAC,PORTION OF FREMONT HEIGHTS TRACT,Permit Finaled,METRO,622969,34.03679,-118.20285,2041.1,14
17041-10000-11796,Electrical,TR 6333,Permit Finaled,METRO,775688,34.06297,-118.19251,2014.02,14
17042-10000-09336,Plumbing,AMENDED MAP OF THE FRANCESCA TRACT,Issued,METRO,0,34.03954,-118.20197,2041.1,14
16044-10000-09814,HVAC,TR 2941,Permit Expired,METRO,622969,34.0504,-118.19441,2032,14
17044-10000-10674,HVAC,TR 4812,Permit Finaled,METRO,971167,34.0424,-118.19506,2038,14
19041-90000-32200,Electrical,MOUNTAIN VIEW TRACT,Issued,INTERNET,750184,34.03373,-118.20043,2041.2,14
19041-90000-32199,Electrical,MOUNTAIN VIEW TRACT,Issued,INTERNET,750184,34.03373,-118.20043,2041.2,14
19014-10000-04052,Bldg-Addition,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Issued,METRO,0,34.03149,-118.19397,2039,14
19042-90000-20700,Plumbing,RAYMUND HEIGHTS TRACT,Issued,INTERNET,0,34.04473,-118.19369,2038,14
19044-10000-10358,HVAC,PLATEAU TRACT,Issued,METRO,622969,34.03345,-118.19281,2039,14
19042-10000-19525,Plumbing,TR 1735,Permit Finaled,METRO,622969,34.03793,-118.20085,2041.1,14
19016-10000-26250,Bldg-Alter/Repair,"RECORDS SUBDIVISION OF THE WESTERLY 1/2 OF LOT 7, BLOCK 74 HANCOCKS SURVEY",Permit Finaled,METRO,0,34.04422,-118.19848,2038,14
19044-40000-08347,HVAC,MOUNTAIN VIEW TRACT,Permit Finaled,SANPEDRO,795556,34.03432,-118.20019,2041.2,14
19044-10000-09795,HVAC,TR 1735,Permit Finaled,METRO,622969,34.03793,-118.20085,2041.1,14
19019-20000-01226,Bldg-Demolition,KENYON AND SMITH TRACT,Issued,VAN NUYS,942423,34.03226,-118.19845,2041.2,14
19042-90000-21248,Plumbing,TR 2941,Permit Finaled,INTERNET,505706,34.05138,-118.19409,2032,14
21016-10000-15473,Bldg-Alter/Repair,GRIDER AND HAMILTON'S FLORAL PARK,Issued,METRO,957084,,,2017,14
19041-10000-33738,Electrical,TR 8453,Permit Finaled,METRO,893236,34.05312,-118.19285,2032,14
