Permit Number,Permit Type,Tract,Status,Initiating Office,License Number,Latitude,Longitude,Census Tract,Council District
20044-10000-11398,HVAC,OGILVIE'S GRAND VIEW HEIGHTS TRACT,Permit Finaled,METRO,1067086,34.0369,-118.20082,2041.1,14
21042-10000-05841,Plumbing,HYLAND HEIGHTS TRACT,Permit Finaled,METRO,1041658,34.04276,-118.19828,2038,14
18014-10000-03094,Bldg-Addition,TR 2941,CofO Issued,METRO,0,34.05119,-118.19544,2032,14
20016-20000-28517,Bldg-Alter/Repair,TR 2941,Permit Finaled,VAN NUYS,0,34.05141,-118.19489,2032,14
20016-70000-03504,Bldg-Alter/Repair,TR 1735,Permit Finaled,SOUTH LA,543710,34.03784,-118.20064,2041.1,14
21016-90000-03763,Bldg-Alter/Repair,S 1/2 LOT 5 BLOCK F HANCOCK SURVEY,Permit Finaled,INTERNET,992285,34.03397,-118.19652,2039,14
20016-10000-19807,Bldg-Alter/Repair,TR 1809,Issued,METRO,1033925,34.03693,-118.19254,2039,14
12010-10001-01741,Bldg-Alter/Repair,RAYMUND HEIGHTS TRACT,Permit Finaled,METRO,0,34.0446,-118.1934,2038,14
20014-10001-03279,Bldg-Alter/Repair,HYLAND HEIGHTS TRACT,Issued,METRO,0,34.04481,-118.19614,2038,14
18010-10000-06173,Bldg-New,SUBDIVISION OF THE CHEESBROUGH TRACT,CofO Issued,METRO,973501,,,2039,14
21041-90000-24619,Electrical,"E. A. MILLER'S SUBDIVISION OF LOTS 33, 34, 35 OF THE WORKMAN AND HELLMAN SUBDIVISION",Permit Finaled,INTERNET,1026366,34.03504,-118.20209,2041.2,14
21041-90000-81035,Electrical,CORCORAN TRACT,Permit Finaled,INTERNET,978398,34.03875,-118.2013,2041.1,14
19044-40000-14217,HVAC,LA PALOMA HEIGHTS ADDITION,Permit Closed,SANPEDRO,766254,34.03521,-118.19788,2041.1,14
20016-20000-24255,Bldg-Alter/Repair,"E. A. MILLER'S SUBDIVISION OF LOTS 33, 34, 35 OF THE WORKMAN AND HELLMAN SUBDIVI",Permit Finaled,VAN NUYS,1025026,34.03596,-118.20169,2041.2,14
20014-10000-03279,Bldg-Addition,HYLAND HEIGHTS TRACT,Issued,METRO,0,34.04481,-118.19614,2038,14
20041-10001-38352,Electrical,"E. A. MILLER'S SUBDIVISION OF LOTS 33, 34, 35 OF THE WORKMAN AND HELLMAN SUBDIVI",Issued,METRO,982343,34.03596,-118.20169,2041.2,14
21041-90000-12626,Electrical,LA PALOMA HEIGHTS TRACT,Permit Finaled,INTERNET,1004379,34.03743,-118.19811,2041.1,14
21044-90000-04398,HVAC,CARNATION TERRACE TRACT,Issued,INTERNET,1031989,34.04601,-118.19503,2038,14
21041-90000-12625,Electrical,LA PALOMA HEIGHTS TRACT,Permit Finaled,INTERNET,1004379,34.03743,-118.19811,2041.1,14
21044-90000-05699,HVAC,"RECORDS SUBDIVISION OF THE WESTERLY 1/2 OF LOT 7, BLOCK 74 HANCOCKS SURVEY",Permit Finaled,INTERNET,1036202,34.04573,-118.19848,2038,14
21044-10000-03736,HVAC,S 1/2 LOT 5 BLOCK F HANCOCK SURVEY,Permit Finaled,METRO,0,34.03434,-118.19578,2039,14
21041-90000-31835,Electrical,TR 6333,Issued,INTERNET,428325,34.06177,-118.18598,2014.02,14
21041-90000-31306,Electrical,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,INTERNET,1015151,34.03257,-118.19624,2039,14
21041-90000-31834,Electrical,TR 6333,Issued,INTERNET,428325,34.06177,-118.18598,2014.02,14
21030-10000-05210,Grading,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,METRO,983221,34.02989,-118.19482,2039,14
21016-20000-08143,Bldg-Alter/Repair,"RECORDS SUBDIVISION OF THE WESTERLY 1/2 OF LOT 7, BLOCK 74 HANCOCKS SURVEY",Permit Finaled,VAN NUYS,1011228,34.04573,-118.19848,2038,14
21041-90000-31833,Electrical,TR 6333,Issued,INTERNET,428325,34.06177,-118.18598,2014.02,14
21044-10000-08161,HVAC,"RECORDS SUBDIVISION OF THE WESTERLY 1/2 OF LOT 7, BLOCK 74 HANCOCKS SURVEY",Issued,METRO,1062402,34.04408,-118.19804,2038,14
20016-90000-32402,Bldg-Alter/Repair,PLATEAU TRACT,Permit Finaled,INTERNET,1026931,34.03399,-118.19402,2039,14
20041-20000-42370,Electrical,HYLAND HEIGHTS TRACT,Permit Finaled,VAN NUYS,966738,34.04363,-118.19791,2038,14
21030-10000-05209,Grading,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,METRO,983221,34.03049,-118.19316,2039,14
20019-30000-02079,Bldg-Demolition,HYLAND HEIGHTS TRACT,Issued,WEST LA,0,34.04381,-118.1978,2038,14
20042-20000-23091,Plumbing,HYLAND HEIGHTS TRACT,Permit Finaled,VAN NUYS,399170,34.04244,-118.19755,2038,14
20041-10000-33676,Electrical,TR 1735,Permit Finaled,METRO,543710,34.03784,-118.20064,2041.1,14
21041-20000-13667,Electrical,TR 2271,Permit Finaled,VAN NUYS,619149,34.03461,-118.20499,2043,14
20041-90000-27606,Electrical,PLATEAU TRACT,Permit Finaled,INTERNET,901296,34.03301,-118.19329,2039,14
20044-90000-03078,HVAC,HAMMELL'S SUBDIVISION OF LOTS 31 AND 32 OF WORKMAN AND HELLMAN'S SUBDIVISION OF LOT 2 IN BLOCK NO. 72 HANCOCK'S SURVEY,Permit Finaled,INTERNET,1002162,34.03354,-118.20308,2041.2,14
20010-30000-01016,Bldg-New,HYLAND HEIGHTS TRACT,Issued,WEST LA,0,34.04381,-118.1978,2038,14
21041-90000-00185,Electrical,TR 8453,Permit Finaled,INTERNET,956749,34.05404,-118.19301,2032,14
20016-10000-24153,Bldg-Alter/Repair,TR 2941,Permit Finaled,METRO,1036102,34.0511,-118.19433,2032,14
21016-90000-01240,Bldg-Alter/Repair,TR 4812,Permit Finaled,INTERNET,1023239,34.04172,-118.19342,2038,14
19041-10000-11991,Electrical,TR 399,Permit Expired,METRO,855010,34.03498,-118.19951,2041.2,14
18014-70000-00982,Bldg-Addition,LA PALOMA HEIGHTS ADDITION,CofO Issued,SOUTH LA,901296,34.03521,-118.19788,2041.1,14
20047-30000-01420,Swimming-Pool/Spa,HYLAND HEIGHTS TRACT,CofO Issued,WEST LA,0,34.04361,-118.19625,2038,14
21042-90000-16881,Plumbing,OGILVIE'S GRAND VIEW HEIGHTS TRACT,Issued,INTERNET,1042744,34.03558,-118.20012,2041.1,14
21016-90000-03805,Bldg-Alter/Repair,TR 1323,Issued,INTERNET,973756,34.04531,-118.19756,2038,14
21041-90000-01924,Electrical,HYLAND HEIGHTS TRACT,Refund Completed,INTERNET,0,34.04381,-118.1978,2038,14
21042-10000-02140,Plumbing,TR 2941,Issued,METRO,784495,34.05088,-118.19523,2032,14
21041-90000-03992,Electrical,HYLAND HEIGHTS TRACT,Permit Finaled,INTERNET,893236,34.04381,-118.1978,2038,14
21016-90000-12951,Bldg-Alter/Repair,"RECORDS SUBDIVISION OF THE WESTERLY 1/2 OF LOT 7, BLOCK 74 HANCOCKS SURVEY",Issued,INTERNET,908778,34.04516,-118.19792,2038,14
21016-90000-21590,Bldg-Alter/Repair,TR 2941,Issued,INTERNET,901812,34.05137,-118.19492,2032,14
20016-90000-25897,Bldg-Alter/Repair,"RECORDS SUBDIVISION OF THE WESTERLY 1/2 OF LOT 7, BLOCK 74 HANCOCKS SURVEY",Permit Finaled,INTERNET,535603,34.04516,-118.19792,2038,14
21041-90000-29806,Electrical,CARNATION TERRACE TRACT,Permit Finaled,INTERNET,619149,34.04712,-118.1969,2038,14
21041-90000-29807,Electrical,CARNATION TERRACE TRACT,Permit Finaled,INTERNET,1038437,34.04712,-118.1969,2038,14
17014-10000-05608,Bldg-Alter/Repair,TR 8453,Permit Finaled,METRO,0,34.05404,-118.19307,2032,14
21016-90000-03924,Bldg-Alter/Repair,TR 1323,Issued,INTERNET,973756,34.04531,-118.19756,2038,14
21016-90000-02827,Bldg-Alter/Repair,"RECORDS SUBDIVISION OF THE WESTERLY 1/2 OF LOT 7, BLOCK 74 HANCOCKS SURVEY",Permit Finaled,INTERNET,1011228,34.04573,-118.19848,2038,14
21041-90000-31644,Electrical,HYLAND HEIGHTS TRACT,Permit Finaled,INTERNET,1026042,34.04386,-118.19624,2038,14
21016-30000-02869,Bldg-Alter/Repair,LA PALOMA HEIGHTS ADDITION,Permit Finaled,WEST LA,982343,34.03674,-118.19608,2041.1,14
21042-10000-02638,Plumbing,TR 2941,Permit Finaled,METRO,662499,34.05105,-118.19435,2032,14
20019-70000-01476,Bldg-Demolition,PLATEAU TRACT,Issued,SOUTH LA,1068007,34.03261,-118.19342,2039,14
19016-10000-37542,Bldg-Alter/Repair,CORCORAN TRACT,Issued,METRO,0,34.03875,-118.2013,2041.1,14
21042-10000-09942,Plumbing,CARNATION TERRACE TRACT,Permit Finaled,METRO,927892,34.0493,-118.19571,2038,14
20044-90000-11864,HVAC,TR 8453,Permit Finaled,INTERNET,618381,34.05355,-118.19285,2032,14
21016-90000-56068,Bldg-Alter/Repair,PLATEAU TRACT,Issued,INTERNET,0,34.03343,-118.19275,2039,14
12010-10003-01740,Bldg-Alter/Repair,RAYMUND HEIGHTS TRACT,Permit Finaled,METRO,0,34.0446,-118.1934,2038,14
19014-10000-06370,Bldg-Addition,OGILVIE'S GRAND VIEW HEIGHTS TRACT,Issued,METRO,1017702,,,2041.1,14
21016-90000-12459,Bldg-Alter/Repair,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,INTERNET,1018039,34.02928,-118.19344,2039,14
21044-90000-01887,HVAC,P M 1262,Issued,INTERNET,1011173,34.031,-118.19613,2039,14
21016-30000-02872,Bldg-Alter/Repair,LA PALOMA HEIGHTS ADDITION,Permit Finaled,WEST LA,982343,34.03674,-118.19608,2041.1,14
21041-10000-10450,Electrical,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,METRO,633240,34.02919,-118.19266,2039,14
21016-90000-04890,Bldg-Alter/Repair,TR 2941,Issued,INTERNET,1015050,34.05194,-118.19539,2032,14
21030-10000-05208,Grading,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,METRO,983221,34.03008,-118.19469,2039,14
20030-30000-04698,Grading,HYLAND HEIGHTS TRACT,Permit Finaled,WEST LA,0,34.04361,-118.19625,2038,14
21042-90000-19229,Plumbing,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,INTERNET,0,34.03195,-118.19268,2039,14
21042-90000-19913,Plumbing,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,INTERNET,0,34.03195,-118.19268,2039,14
21041-30000-20951,Electrical,TR 4812,Issued,WEST LA,1004379,34.04286,-118.19346,2038,14
21042-10000-18494,Plumbing,TR 1809,Issued,METRO,1033925,34.03701,-118.19254,2039,14
21041-20000-23633,Electrical,RAYMUND HEIGHTS TRACT,Permit Finaled,VAN NUYS,619149,,,2038,14
04010-10001-01968,Bldg-Alter/Repair,RAYMUND HEIGHTS TRACT,Permit Finaled,METRO,0,34.04435,-118.19281,2038,14
21041-90000-20828,Electrical,TR 4812,Issued,INTERNET,591562,34.04247,-118.19397,2038,14
21010-10000-01153,Bldg-Alter/Repair,OGILVIE'S GRAND VIEW HEIGHTS TRACT,Issued,METRO,977712,34.03604,-118.19961,2041.1,14
04010-10001-00250,Bldg-Alter/Repair,RAYMUND HEIGHTS TRACT,Permit Finaled,METRO,0,34.04435,-118.19281,2038,14
21041-90000-08266,Electrical,TR 4812,Issued,INTERNET,750184,34.04352,-118.19545,2038,14
21041-90000-08265,Electrical,TR 4812,Issued,INTERNET,750184,34.04352,-118.19545,2038,14
21041-10000-02155,Electrical,TR 4812,Permit Finaled,METRO,986062,34.04349,-118.19353,2038,14
21016-90000-03241,Bldg-Alter/Repair,CARNATION TERRACE TRACT,Permit Finaled,INTERNET,982343,34.04776,-118.19677,2038,14
21016-10000-21874,Bldg-Alter/Repair,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,METRO,910533,34.03195,-118.19268,2039,14
21041-10000-10447,Electrical,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,METRO,633240,34.02954,-118.19256,2039,14
21041-90000-02715,Electrical,TR 2941,Permit Finaled,INTERNET,1029644,34.05032,-118.1948,2032,14
20041-90000-42309,Electrical,TR 4812,Permit Finaled,INTERNET,986062,34.04349,-118.19353,2038,14
21041-90000-01528,Electrical,KENYON AND SMITH TRACT,Permit Finaled,INTERNET,998787,34.03306,-118.19786,2041.2,14
19010-10002-02757,Bldg-Alter/Repair,GRIDER AND HAMILTON'S FLORAL PARK,Issued,METRO,998987,,,2017,14
21041-90000-31642,Electrical,HYLAND HEIGHTS TRACT,Permit Finaled,INTERNET,1026042,34.04386,-118.19624,2038,14
21030-10000-08190,Grading,SUBDIVISION OF THE CHEESBROUGH TRACT,Issued,METRO,977636,34.03756,-118.19457,2039,14
21041-10000-94711,Electrical,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,METRO,633240,34.02954,-118.19256,2039,14
18016-20000-37893,Bldg-Alter/Repair,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,VAN NUYS,1041262,34.0296,-118.19256,2039,14
21042-10000-02225,Plumbing,"E. A. MILLER'S SUBDIVISION OF LOTS 33, 34, 35 OF THE WORKMAN AND HELLMAN SUBDIVI",Permit Finaled,METRO,982343,34.03596,-118.20169,2041.2,14
21030-10000-03343,Grading,SUBDIVISION OF THE CHEESBROUGH TRACT,Issued,METRO,977636,34.03756,-118.19457,2039,14
21020-10000-01093,Nonbldg-New,SUBDIVISION OF THE CHEESBROUGH TRACT,Issued,METRO,977636,34.03756,-118.19457,2039,14
21016-90000-04652,Bldg-Alter/Repair,"RECORDS SUBDIVISION OF THE WESTERLY 1/2 OF LOT 7, BLOCK 74 HANCOCKS SURVEY",Permit Finaled,INTERNET,931407,34.04573,-118.19848,2038,14
21041-90000-09347,Electrical,TR 4812,Issued,INTERNET,1004379,34.04286,-118.19346,2038,14
18016-10000-09746,Bldg-Alter/Repair,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,CofO Issued,METRO,0,34.02954,-118.19256,2039,14
18014-70000-02962,Bldg-Addition,"E. A. MILLER'S SUBDIVISION OF LOTS 33, 34, 35 OF THE WORKMAN AND HELLMAN SUBDIVI",CofO Issued,SOUTH LA,0,,,2041.2,14
21044-90000-04433,HVAC,TR 2941,Permit Finaled,INTERNET,0,34.05032,-118.1948,2032,14
19014-20000-02028,Bldg-Addition,TR 4812,CofO Issued,VAN NUYS,0,,,2038,14
19016-10001-36756,Bldg-Alter/Repair,CARNATION TERRACE TRACT,Permit Finaled,METRO,1010001,34.0493,-118.19571,2038,14
21042-10000-03171,Plumbing,TR 2941,Permit Finaled,METRO,622969,34.04994,-118.19393,2032,14
21041-20000-07442,Electrical,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,VAN NUYS,1004379,34.03129,-118.19498,2039,14
21010-10000-01352,Bldg-New,SUBDIVISION OF THE CHEESBROUGH TRACT,Issued,METRO,977636,34.03756,-118.19457,2039,14
18014-10001-03094,Bldg-Alter/Repair,TR 2941,Permit Finaled,METRO,0,34.05119,-118.19544,2032,14
21016-90000-04480,Bldg-Alter/Repair,TR 4812,Permit Finaled,INTERNET,0,34.04287,-118.19265,2038,14
21042-10000-11085,Plumbing,OGILVIE'S GRAND VIEW HEIGHTS TRACT,Permit Finaled,METRO,868505,34.03587,-118.20048,2041.1,14
19041-10002-24710,Electrical,GRIDER AND HAMILTON'S FLORAL PARK,Issued,METRO,998987,,,2017,14
21042-10000-07395,Plumbing,GRIDER AND HAMILTON'S FLORAL PARK,Issued,METRO,998987,,,2017,14
20042-10000-18635,Plumbing,TR 1735,Permit Finaled,METRO,543710,34.03784,-118.20064,2041.1,14
21041-10000-40803,Electrical,EAST END TERRACE,Issued,METRO,923970,34.03595,-118.19339,2039,14
21141-20000-24737,Electrical,EAST END TERRACE,Permit Finaled,VAN NUYS,923970,34.03587,-118.19493,2039,14
21041-10000-08780,Electrical,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,METRO,1043049,34.03195,-118.19268,2039,14
21042-20000-22850,Plumbing,EAST END TERRACE,Issued,VAN NUYS,923970,34.03595,-118.19339,2039,14
21041-90000-28059,Electrical,TR 2941,Permit Finaled,INTERNET,619149,34.05004,-118.19386,2032,14
17014-10000-03605,Bldg-Addition,HYLAND HEIGHTS TRACT,CofO Issued,METRO,0,34.04303,-118.19661,2038,14
21041-90000-28058,Electrical,TR 2941,Permit Finaled,INTERNET,1038437,34.05004,-118.19386,2032,14
20044-30000-08416,HVAC,CARNATION TERRACE TRACT,Permit Finaled,WEST LA,1011173,34.04876,-118.19449,2038,14
21041-90000-01904,Electrical,TR 2941,Permit Finaled,INTERNET,1029644,34.05032,-118.1948,2032,14
20014-20000-00981,Bldg-Addition,LA PALOMA HEIGHTS ADDITION,Issued,VAN NUYS,0,34.03513,-118.1974,2041.1,14
21042-90000-06318,Plumbing,RAYMUND HEIGHTS TRACT,Issued,INTERNET,0,34.0448,-118.19388,2038,14
21041-10001-10715,Electrical,EAST END TERRACE,Permit Finaled,METRO,0,34.03598,-118.19462,2039,14
21016-10000-12628,Bldg-Alter/Repair,OGILVIE'S GRAND VIEW HEIGHTS TRACT,Permit Finaled,METRO,1065273,34.03571,-118.20043,2041.1,14
21016-90000-53452,Bldg-Alter/Repair,TR 2941,Permit Finaled,INTERNET,967971,34.04975,-118.19404,2032,14
21041-90000-16030,Electrical,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,INTERNET,1053172,34.02928,-118.19344,2039,14
20041-20001-42370,Electrical,HYLAND HEIGHTS TRACT,Permit Finaled,VAN NUYS,966738,34.04363,-118.19791,2038,14
21041-90000-10715,Electrical,EAST END TERRACE,Permit Finaled,INTERNET,0,34.03598,-118.19462,2039,14
21016-90000-25795,Bldg-Alter/Repair,TR 2941,Issued,INTERNET,0,34.05163,-118.19468,2032,14
21016-10001-21355,Bldg-Alter/Repair,EAST END TERRACE,Permit Finaled,METRO,923970,34.03587,-118.19493,2039,14
21041-10000-08424,Electrical,KENYON AND SMITH TRACT,Permit Finaled,METRO,0,34.03199,-118.19938,2041.2,14
21141-90000-22675,Electrical,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,INTERNET,1029644,34.03239,-118.19585,2039,14
21044-90000-28665,HVAC,MANSFIELD TRACT,Issued,INTERNET,704414,34.04317,-118.19855,2038,14
18014-10003-05737,Bldg-Alter/Repair,HYLAND HEIGHTS TRACT,Permit Finaled,METRO,0,34.04474,-118.19684,2038,14
20041-90000-43877,Electrical,HYLAND HEIGHTS TRACT,Permit Finaled,INTERNET,966181,34.04474,-118.19684,2038,14
20041-90000-23570,Electrical,HYLAND HEIGHTS TRACT,Permit Finaled,INTERNET,966181,34.04474,-118.19684,2038,14
20042-90000-19521,Plumbing,TR 8453,Permit Finaled,INTERNET,1014647,34.05404,-118.19307,2032,14
18030-10000-06319,Grading,TR 4812,Issued,METRO,0,34.04257,-118.19364,2038,14
21016-90000-13857,Bldg-Alter/Repair,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,INTERNET,923436,34.03056,-118.19332,2039,14
18019-10000-05476,Bldg-Demolition,HYLAND HEIGHTS TRACT,Permit Finaled,METRO,0,34.04474,-118.19684,2038,14
20041-90000-44364,Electrical,HYLAND HEIGHTS TRACT,Permit Finaled,INTERNET,966181,34.04474,-118.19684,2038,14
18014-10001-05737,Bldg-Alter/Repair,HYLAND HEIGHTS TRACT,CofO Issued,METRO,0,34.04474,-118.19684,2038,14
18010-10000-03450,Bldg-New,TR 4812,Issued,METRO,0,34.04257,-118.19364,2038,14
18030-10001-06319,Grading,TR 4812,Issued,METRO,0,34.04257,-118.19364,2038,14
19016-10000-36756,Bldg-Alter/Repair,CARNATION TERRACE TRACT,CofC Issued,METRO,1010001,34.0493,-118.19571,2038,14
20043-90000-01511,Fire Sprinkler,HYLAND HEIGHTS TRACT,Issued,INTERNET,584319,34.04474,-118.19684,2038,14
18010-10001-03450,Bldg-Alter/Repair,TR 4812,Issued,METRO,0,34.04257,-118.19364,2038,14
21041-90000-22558,Electrical,TR 8453,Permit Finaled,INTERNET,1014647,34.05404,-118.19307,2032,14
18014-10002-05737,Bldg-Alter/Repair,HYLAND HEIGHTS TRACT,Permit Finaled,METRO,0,34.04474,-118.19684,2038,14
21041-90000-19259,Electrical,TR 5258,Permit Finaled,INTERNET,1024460,34.05125,-118.19281,2032,14
18014-10000-05737,Bldg-Addition,HYLAND HEIGHTS TRACT,Permit Finaled,METRO,0,34.04474,-118.19684,2038,14
21016-90000-21355,Bldg-Alter/Repair,EAST END TERRACE,Permit Finaled,INTERNET,923970,34.03587,-118.19493,2039,14
21042-90000-16129,Plumbing,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,INTERNET,0,34.03143,-118.19384,2039,14
21044-10000-08575,HVAC,THOMPSON AND SCHOCK TRACT,Permit Finaled,METRO,622969,34.03575,-118.20439,2043,14
21044-10000-03903,HVAC,EAST END TERRACE,Permit Finaled,METRO,918107,34.03599,-118.19454,2039,14
21041-10000-15052,Electrical,EAST END TERRACE,Permit Finaled,METRO,918107,34.03599,-118.19454,2039,14
20016-10000-23978,Bldg-Addition,EAST END TERRACE,CofO Issued,METRO,0,34.03599,-118.19454,2039,14
21016-10000-15201,Bldg-Alter/Repair,LA PALOMA HEIGHTS TRACT,Permit Finaled,METRO,0,34.03802,-118.19894,2041.1,14
21042-10000-35098,Plumbing,TR 1323,Permit Finaled,METRO,685693,34.04526,-118.19744,2038,14
21041-10000-59804,Electrical,TR 1323,Permit Finaled,METRO,685693,34.04526,-118.19744,2038,14
21016-30000-06226,Bldg-Alter/Repair,EAST END TERRACE,Permit Finaled,WEST LA,0,34.03531,-118.19311,2039,14
21041-10000-34983,Electrical,TR 1809,Permit Finaled,METRO,1033925,34.03701,-118.19254,2039,14
20043-10000-00888,Fire Sprinkler,LA PALOMA HEIGHTS ADDITION,Permit Finaled,METRO,996238,34.03454,-118.19762,2041.1,14
21041-90000-25425,Electrical,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,INTERNET,1003215,34.03124,-118.19583,2039,14
21016-90000-59055,Bldg-Alter/Repair,AMENDED MAP OF THE FRANCESCA TRACT,Issued,INTERNET,0,34.03935,-118.20179,2041.1,14
21042-90000-13612,Plumbing,LA PALOMA HEIGHTS ADDITION,Issued,INTERNET,771663,34.03688,-118.19689,2041.1,14
21041-90000-02447,Electrical,TR 8453,Permit Finaled,INTERNET,406002,34.0536,-118.19384,2032,14
20044-10000-08062,HVAC,PLATEAU TRACT,Permit Finaled,METRO,901296,34.03301,-118.19329,2039,14
20042-90000-11940,Plumbing,PLATEAU TRACT,Permit Finaled,INTERNET,901296,34.03301,-118.19329,2039,14
21016-90000-12138,Bldg-Alter/Repair,"RECORDS SUBDIVISION OF THE WESTERLY 1/2 OF LOT 7, BLOCK 74 HANCOCKS SURVEY",Permit Finaled,INTERNET,1011228,34.04573,-118.19848,2038,14
21041-20000-26700,Electrical,OGILVIE'S GRAND VIEW HEIGHTS TRACT,Issued,VAN NUYS,1017702,34.03628,-118.19998,2041.1,14
20016-10000-11113,Bldg-Alter/Repair,CARNATION TERRACE TRACT,Issued,METRO,1040389,34.04861,-118.19414,2038,14
21042-90000-13092,Plumbing,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,INTERNET,1003215,34.03124,-118.19583,2039,14
20016-10000-11114,Bldg-Alter/Repair,CARNATION TERRACE TRACT,Issued,METRO,1040389,34.04851,-118.19391,2038,14
20016-10000-22858,Bldg-Alter/Repair,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,CofO Issued,METRO,1003215,,,2039,14
19014-10001-04401,Bldg-Alter/Repair,"E. A. MILLER'S SUBDIVISION OF LOTS 33, 34, 35 OF THE WORKMAN AND HELLMAN SUBDIVI",Permit Finaled,METRO,884874,34.03642,-118.20355,2041.2,14
20044-90000-02421,HVAC,"E. A. MILLER'S SUBDIVISION OF LOTS 33, 34, 35 OF THE WORKMAN AND HELLMAN SUBDIVISION",Permit Closed,INTERNET,1031989,34.03596,-118.20169,2041.2,14
20042-10000-21016,Plumbing,"E. A. MILLER'S SUBDIVISION OF LOTS 33, 34, 35 OF THE WORKMAN AND HELLMAN SUBDIVI",Permit Finaled,METRO,982343,34.03596,-118.20169,2041.2,14
20016-30000-13596,Bldg-Alter/Repair,"E. A. MILLER'S SUBDIVISION OF LOTS 33, 34, 35 OF THE WORKMAN AND HELLMAN SUBDIVI",Permit Finaled,WEST LA,982343,34.03596,-118.20169,2041.2,14
19014-10002-04401,Bldg-Alter/Repair,"E. A. MILLER'S SUBDIVISION OF LOTS 33, 34, 35 OF THE WORKMAN AND HELLMAN SUBDIVI",Permit Finaled,METRO,884874,34.03642,-118.20355,2041.2,14
21042-10000-85597,Plumbing,RAYMUND HEIGHTS TRACT,Issued,METRO,1019179,,,2038,14
21044-10000-28906,HVAC,RAYMUND HEIGHTS TRACT,Issued,METRO,1019179,,,2038,14
21141-10000-27494,Electrical,RAYMUND HEIGHTS TRACT,Issued,METRO,1019179,34.04569,-118.19362,2038,14
20041-10001-35409,Electrical,TR 8453,Issued,METRO,1013222,34.05404,-118.19307,2032,14
20041-10000-23585,Electrical,"E. A. MILLER'S SUBDIVISION OF LOTS 33, 34, 35 OF THE WORKMAN AND HELLMAN SUBDIVI",Permit Closed,METRO,1023101,34.036,-118.20178,2041.2,14
21016-10000-30982,Bldg-Alter/Repair,TR 1323,Issued,METRO,685693,34.04526,-118.19744,2038,14
21042-90000-35020,Plumbing,"E. A. MILLER'S SUBDIVISION OF LOTS 33, 34, 35 OF THE WORKMAN AND HELLMAN SUBDIVISION",Permit Finaled,INTERNET,979839,34.03578,-118.20291,2041.2,14
19014-10000-04401,Bldg-Addition,"E. A. MILLER'S SUBDIVISION OF LOTS 33, 34, 35 OF THE WORKMAN AND HELLMAN SUBDIVI",CofO Issued,METRO,884874,34.03642,-118.20355,2041.2,14
21042-90000-37671,Plumbing,"E. A. MILLER'S SUBDIVISION OF LOTS 33, 34, 35 OF THE WORKMAN AND HELLMAN SUBDIVISION",Permit Finaled,INTERNET,1028865,34.03589,-118.20155,2041.2,14
21041-20000-63391,Electrical,TR 8453,Permit Finaled,VAN NUYS,503577,34.05298,-118.19325,2032,14
21041-90000-59784,Electrical,TR 4812,Permit Finaled,INTERNET,1029644,34.04309,-118.19568,2038,14
20041-30000-36510,Electrical,TR 8453,Permit Finaled,WEST LA,921192,34.05298,-118.19325,2032,14
20042-30000-20066,Plumbing,TR 8453,Permit Finaled,WEST LA,921192,34.05298,-118.19325,2032,14
20044-30000-10391,HVAC,TR 8453,Permit Finaled,WEST LA,921192,34.05298,-118.19325,2032,14
